Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
80	3D	1	0.826245728	0.697343536	0.589704124	0.498856931	0.423250689	0.360485448	0.307968623	0.264913148	0.229880318	0.20152202	0.178997169	0.161429816	0.148449431	0.139459428	0.13405157	0.129476365	0.12606861	0.12380714	0.122678974
81	3D	1	0.825964491	0.69677358	0.588514144	0.498005462	0.422518249	0.359724465	0.307664588	0.264787684	0.229722352	0.201331758	0.17892258	0.161540595	0.148494666	0.13941713	0.13389424	0.129384848	0.126023038	0.123785308	0.122667104
82	3D	1	0.826212281	0.697142156	0.588929218	0.498704409	0.422727246	0.35971667	0.307584244	0.264685413	0.229720653	0.20162538	0.179146942	0.16190239	0.148993118	0.140480469	0.134205042	0.129466388	0.126002823	0.123726165	0.122595726
83	3D	1	0.826234108	0.697253555	0.589072555	0.498440392	0.422872708	0.360054412	0.308123592	0.26483766	0.22960331	0.201295005	0.179055295	0.162553191	0.149084835	0.140567174	0.134401435	0.129731939	0.126265646	0.123963029	0.122813691
84	3D	1	0.826396631	0.69782525	0.589200093	0.498682729	0.423036477	0.360237102	0.308345731	0.265047066	0.229776857	0.201372363	0.17898209	0.161889729	0.149087439	0.139864419	0.134477225	0.129878525	0.126431438	0.124137652	0.122992267
85	3D	1	0.825976619	0.696834742	0.588789904	0.498749227	0.425143259	0.360254975	0.307957536	0.265056473	0.230316758	0.202873806	0.179713363	0.162202037	0.14976588	0.13988911	0.134374295	0.129795053	0.126391207	0.124132312	0.123005375
86	3D	1	0.826287875	0.697438479	0.589991508	0.501834812	0.423719048	0.360322751	0.308061583	0.265105293	0.229685545	0.201240068	0.178935418	0.16233737	0.148669537	0.139519223	0.134081756	0.129511808	0.1261291	0.12389324	0.122780072
87	3D	1	0.826043098	0.696927548	0.588721827	0.498199451	0.422670942	0.359853869	0.307826634	0.264995602	0.229803499	0.201397748	0.178962292	0.161664997	0.149059788	0.140755885	0.134512466	0.129759986	0.126271564	0.12396838	0.122821661
88	3D	1	0.826593291	0.698195764	0.589639716	0.498864485	0.423101131	0.360070147	0.307845987	0.264801224	0.229583412	0.201232395	0.178867926	0.161592483	0.149011637	0.140681723	0.134624482	0.129919831	0.126435136	0.124127684	0.122977975
89	3D	1	0.826096468	0.697084771	0.589151014	0.498836244	0.42324784	0.360308849	0.308120682	0.265133683	0.229971583	0.201612165	0.179106853	0.161839166	0.149091745	0.140082613	0.134481905	0.129837304	0.126474651	0.12423173	0.123107702
